video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=6aViIvbNYmE&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@enochkwong980,Enoch Kwong,"University of Washington Dorm tour 2022 (Dimensions + Models!) Maple, Elm, Lander, Willow, etc.",12K weergaven,1 jaar geleden,Took this video before moving out of the room. Take dimensions with a grain of salt :) This is a room in maple hall and most of the ...,2024-01-28 08:46:55.912440
/watch?v=etRZCmYa1bw&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@dobochobo,dobochobo,first week of college 🍵☔️ as a senior @ university of washington!,137K weergaven,3 maanden geleden,"a week of settling in, trying to get back into the groove of college life, & lots of caffeine. i know it is way past back to school season ...",2024-01-28 08:46:55.916395
/watch?v=A0sf2U6l6KM&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@CWUAthletics,CWU Athletics,Central Washington Men’s Rugby vs. British Columbia,925 weergaven,Gestreamd: 9 uur geleden,The #9 Central Washington University men's rugby team takes on British Columbia for their home opener on Steve Hertling Field ...,2024-01-28 08:46:55.919412
/watch?v=A03zS8VsTQU&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@Sincerelylaure,Sincerelylaure,COLLEGE DORM TOUR 2020 | University of Washington (freshman year),38K weergaven,3 jaar geleden,"hi here's my long-awaited dorm tour!! thank you so much for watching, cya in my next video. i hope you all have an amazing day ...",2024-01-28 08:46:55.923045
/watch?v=wEjiipnB8Cs&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),2023's UW News video highlights,"2,3K weergaven",1 maand geleden,"This minute-long video is a glimpse at just some of the video stories the UW News office produced this year. In 2023, UW students, ...",2024-01-28 08:46:55.926356
/watch?v=JLafA9i1cJE&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@nancyhe,Nancy He 何南希,COLLEGE MOVE IN DAY | University of Washington (freshman),21K weergaven,1 jaar geleden,"collegemovein #movingout #dormroom #universityofwashington The video you've all been waiting for! In this video, I moved into a ...",2024-01-28 08:46:55.930939
/watch?v=lQoshQZGuwE&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@AUAdmissions,American University Admissions,This is American University,62K weergaven,4 jaar geleden,"If you are ready to learn more, sign up to get more information about American University in Washington, DC: ...",2024-01-28 08:46:55.934413
/shorts/eX8FsfDgAMA,/@BestCollegeAidUSA,Best College Aid USA,Out-of-state scholarships for the University of Washington #Shorts #College Tours,11K weergaven,1 jaar geleden,"Out-of-state scholarships for the University of Washington Hello guys, welcome to the University of Washington, where Rainn ...",2024-01-28 08:46:55.937513
/watch?v=r0JA7jX4BI0&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@NCAAChampionships,NCAA Championships,"Washington vs. Georgetown: Brilliant goal, full College Cup semifinal highlights",55K weergaven,2 jaar geleden,"After a 0-0 first half, the scoring opened up in the 2021 NCAA men's soccer semifinal between Washington and Georgetown, ...",2024-01-28 08:46:55.940247
/watch?v=xMgrBIAEfU8&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@Mcflurrybean,The End,University of Washington Cheer 2015,26K weergaven,8 jaar geleden,"UW performing @ The WIAA Washington State Cheer Competition at Alaska Airlines Arena on January 31st, 2015!",2024-01-28 08:46:55.942949
/watch?v=_xzqfeXyoOk&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@CampusMania,CampusMania,Washington State University | WSU | 4K Campus Drone Tour,26K weergaven,2 jaar geleden,"A 4K tour of Washington State University Campus! Washington State University (Washington State, WSU, or Wazzu) is a public ...",2024-01-28 08:46:55.945730
/watch?v=Kjv3RYsWnzQ&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@espncfb,ESPN College Football,Oregon Ducks vs. Washington Huskies | Full Game Highlights,798K weergaven,3 maanden geleden,Watch highlights as the No. 7 Washington Huskies eked out a 36-33 win over the No. 8 Oregon Ducks. QB Michael Penix Jr. threw ...,2024-01-28 08:46:55.948677
