video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=3JWTaaS7LdU&pp=ygUHSG91c3Rvbg%3D%3D,/channel/UC7fzrpTArAqDHuB3Hbmd_CQ,Whitney Houston,Whitney Houston - I Will Always Love You (Official 4K Video),"1,5 mld. weergaven",13 jaar geleden,"Ask your voice device to play Whitney Houston! Lyrics: And I will always love you I will always love you You My darling, you ...",2024-01-28 11:08:12.048258
/watch?v=nBH6FwbOgPs&pp=ygUHSG91c3Rvbg%3D%3D,/@realcoolvision,CoolVision,"Houston USA. Largest City in Texas. Sights, People and Economy","1,1 mln. weergaven",1 jaar geleden,Houston is the largest city in Texas. Houston metro area is the 6th largest in the US. In this video we'll take a look at what Houston ...,2024-01-28 11:08:12.056814
/watch?v=Xx5qxIwKXQ0&pp=ygUHSG91c3Rvbg%3D%3D,/@lovesong0000, Musique Française,"Celine Dion, Whitney Houston, Mariah Carey,  Greatest Hits playlist - Best Songs of World Divas 2023","1,6 mln. weergaven",7 maanden geleden,"Celine Dion, Whitney Houston, Mariah Carey, Greatest Hits playlist - Best Songs of World Divas 2023.",2024-01-28 11:08:12.067370
/watch?v=TH6eaRAs5BE&pp=ygUHSG91c3Rvbg%3D%3D,/channel/UCNh17UF89klPDEQvyYr88Zg,58G,58G - Houston feat. Yzomandias,441K weergaven,1 jaar geleden,Režie & Střih / Direction & Cut Andreas Gold Kamera / Camera @shoot.by.nc @Andreas_Gold @dominikzeli Poděkování ...,2024-01-28 11:08:12.077925
/watch?v=i6DcCd3g_jY&pp=ygUHSG91c3Rvbg%3D%3D,/@NostalgieFrancaise,Nostalgie Française,Whitney Houston Greatest Hits Full Album | Whitney Houston Best Song Ever All Time,"2,8 mln. weergaven",9 maanden geleden,"Whitney Houston Greatest Hits Full Album | Whitney Houston Best Song Ever All Time Celine Dion, Mariah Carey, Whitney ...",2024-01-28 11:08:12.080321
/watch?v=IdclkOJqaRw&pp=ygUHSG91c3Rvbg%3D%3D,/@HoustonVEVO,HoustonVEVO,"Houston Featuring Chingy, Nate Dogg & I-20 - I Like That",15 mln. weergaven,15 jaar geleden,"Music video by Houston Featuring Chingy, Nate Dogg & I-20 performing I Like That.",2024-01-28 11:08:20.382593
/watch?v=Gkjz5h0PICc&pp=ygUHSG91c3Rvbg%3D%3D,/@fox26houston,FOX 26 Houston,"Houston man shot, killed trying to rob someone at gas station",134K weergaven,11 uur geleden,A man was shot and killed while trying to rob someone at a gas station in northwest Houston and a bystander who witnessed the ...,2024-01-28 11:08:20.389524
/watch?v=u-7K_kDAYrI&pp=ygUHSG91c3Rvbg%3D%3D,/@HooperHighlights00,Hooper Highlights,Brooklyn Nets vs Houston Rockets Full Game Highlights | Jan 27 | 2024 NBA Season,10K weergaven,8 uur geleden,LUNAR NEW YEAR SALE - UP TO 90% OFF ON NBA JERSEYS◇ https://hoopersparadise.store ◇Vote for Player of the Game◇ ...,2024-01-28 11:08:20.396507
/watch?v=FxYw0XPEoKE&pp=ygUHSG91c3Rvbg%3D%3D,/channel/UC7fzrpTArAqDHuB3Hbmd_CQ,Whitney Houston,Whitney Houston - I Have Nothing (Official HD Video),807 mln. weergaven,14 jaar geleden,Ask your voice device to play Whitney Houston! Lyrics: But don't make me close one more door I don't wanna hurt anymore Stay ...,2024-01-28 11:08:20.403607
/watch?v=ZB1STxdP0nk&pp=ygUHSG91c3Rvbg%3D%3D,/@ThroughMyLens,Through My Lens,24 Hours in Houston: The Ultimate Guide to a Day of Non-Stop Adventure in Texas,98K weergaven,7 maanden geleden,"Houston, Texas is the 4th largest city in the United States and it is home to countless fun adventures. In this video, we'll take you ...",2024-01-28 11:08:20.410153
